feature,mean_importance
koi_hmag,-0.0012363226566604185
koi_ldm_coeff1,-0.0011912883687327125
koi_steff,-0.0007636673919782511
koi_kmag,-0.0005986205436945863
koi_dicco_mdec,-0.0005600201901201751
koi_time0bk,-0.0004159278705918784
koi_slogg,-0.0003981149253797944
koi_jmag,-0.00035089490355495745
koi_srad,-0.00032563520807703803
koi_smass,-0.000271477380632007
koi_dikco_mra,-0.0002026880884775928
ra,-0.0001485487082926201
koi_rmag,-0.00013233413650277359
koi_zmag,-0.00013189774394265774
koi_fwm_sra,-9.346106082936678e-05
koi_imag,4.507282578673222e-05
koi_time0,5.918298424830715e-05
koi_dikco_mdec,9.546628721096573e-05
koi_fwm_pdeco,0.00013982499822349226
koi_tce_plnt_num,0.00018508004723289396
koi_fwm_sdec,0.00018882300408882
dec,0.00020521801909830772
koi_quarters,0.00020947221098453485
koi_dicco_mra,0.00027097595304552966
koi_gmag,0.00039735166581040816
koi_ldm_coeff2,0.00041335721953178196
koi_bin_oedp_sig,0.0005059942995893601
koi_depth,0.0005447860237792728
koi_teq,0.0006119548051222223
koi_incl,0.0006428281959764692
koi_kepmag,0.0007022949092809538
koi_sma,0.0007032910624534067
koi_fwm_sdeco,0.001182111801489158
koi_fwm_prao,0.0013426598771878989
koi_insol,0.0026922911230899543
koi_fwm_srao,0.0028801467563665
koi_impact,0.00288075477691504
koi_duration,0.004726686342575353
koi_num_transits,0.004873592794280565
koi_srho,0.005023922645170831
koi_max_sngle_ev,0.0061512376180888175
koi_fwm_stat_sig,0.006684857285169876
koi_period,0.00804447201677969
koi_smet,0.011938520348944461
koi_dicco_msky,0.01644088006684722
koi_dor,0.027570322233240054
koi_count,0.03098435676203378
koi_model_snr,0.0370766597527573
koi_ror,0.0515552817496415
koi_max_mult_ev,0.05198634108854912
koi_dikco_msky,0.1338288659258942
koi_prad,0.40813509224446004
