feature,mean_importance
ra,-0.0004174919229516405
koi_imag,-0.00012720940367822454
koi_fwm_sra,-9.83472239822647e-05
koi_smass,-7.606076586113009e-05
koi_srad,-2.587541455004727e-05
koi_rmag,-1.6849870265711607e-05
koi_time0,-2.2204460492503132e-17
koi_incl,-2.2204460492503132e-17
koi_fwm_sdeco,-2.2204460492503132e-17
koi_srho,-1.1102230246251566e-17
koi_fwm_pdeco,-1.1102230246251566e-17
koi_fwm_srao,-1.1102230246251566e-17
koi_kmag,-1.1102230246251566e-17
koi_steff,-5.551115123125783e-18
dec,-5.551115123125783e-18
koi_hmag,0.0
koi_dikco_mdec,0.0
koi_bin_oedp_sig,0.0
koi_slogg,0.0
koi_fwm_sdec,0.0
koi_max_sngle_ev,0.0
koi_dicco_mdec,0.0
koi_duration,0.0
koi_depth,0.0
koi_zmag,0.0
koi_teq,0.0
koi_dicco_mra,0.0
koi_ldm_coeff1,0.0
koi_fwm_prao,0.0
koi_quarters,5.551115123125783e-18
koi_dikco_mra,5.551115123125783e-18
koi_sma,1.1102230246251566e-17
koi_ldm_coeff2,4.1404963881525036e-05
koi_jmag,0.00010835243359605395
koi_kepmag,0.00014000335886801273
koi_tce_plnt_num,0.00019725165395884648
koi_gmag,0.0002243541201296051
koi_period,0.0003814822331088208
koi_time0bk,0.000408756350907169
koi_impact,0.000928336717774103
koi_insol,0.0028332102224223167
koi_num_transits,0.0030434986000351326
koi_smet,0.007516428767670086
koi_dor,0.008819110278202124
koi_model_snr,0.013933272597248797
koi_max_mult_ev,0.03344538723341649
koi_ror,0.04352296419785111
koi_dicco_msky,0.05038988146270849
koi_fwm_stat_sig,0.06333958310749979
koi_count,0.06549159607455998
koi_dikco_msky,0.08525847139848727
koi_prad,0.144529103674725
