koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_model_dof,koi_model_chisq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
CANDIDATE,CANDIDATE,19.89913995,175.850252,2455008.85,0.0,,0.969,1.7822,,10829.0,0.154046,7.29555,14.6,0.1419,88.96,638.0,39.3,53.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3858,37.159767,187.4491,76.3,1,56.0,1.0,11111101110111011000000000000000,0.6624,,,5853.0,4.544,-0.18,0.868,0.961,,297.00482,48.134129,15.436,15.943,15.39,15.22,15.166,14.254,13.9,13.826,0.278,19.8003207,48.13412,-0.021,-0.038,0.0007,0.0006,-0.025,-0.034,0.042,0.002,-0.027,0.027
CANDIDATE,CANDIDATE,40.4195037,173.56469,2455006.565,0.0,,0.911,3.362,,6256.0,0.088069,1.89549,7.51,0.2062,89.05,467.0,11.29,54.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2665,0.398,22.598503,94.071846,36.9,1,36.0,1.0,11111111111111111000000000000000,0.8482,,,5446.0,4.507,-0.54,0.781,0.714,,294.31686,50.080231,15.487,16.1,15.463,15.224,15.091,14.029,13.631,13.491,0.027,19.6211267,50.080316,0.09,0.31,0.0006,-0.0011,-0.025,0.051,0.057,-0.049,-0.021,0.053
CANDIDATE,CANDIDATE,7.2406612,137.75545,2454970.755,0.0,,1.198,0.558,,556.4,0.232818,8.66412,19.45,0.0692,87.62,734.0,68.63,28.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5746,3.2751372,9.1666,13.7,2,168.0,2.0,11111111111111111000000000000000,0.4049,,,5005.0,4.595,0.14,0.765,0.85,,293.83331,50.23035,15.334,16.11,15.283,15.001,14.882,13.81,13.3,13.195,0.058,19.588885,50.22996,-0.1,-1.4,0.00016,0.00075,-0.51,-0.49,0.71,0.08,-0.38,0.39
CANDIDATE,CANDIDATE,3.43591631,132.6624,2454965.662,0.0,,0.624,3.133,,23.2,0.004612,0.47024,0.55,0.0437,84.62,1272.0,617.61,6.65,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,3.8943021,7.4337807,8.7,3,357.0,3.0,11111111111111111000000000000000,0.0228,,,5779.0,4.339,-0.06,1.087,0.941,,287.88733,46.276241,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.858,19.192473,46.27616,-0.6,-0.3,1.2e-05,-3e-06,0.01,-0.05,0.05,-0.11,-0.3,0.3
CANDIDATE,CANDIDATE,10.181584004,177.141891,2455010.142,0.0,,0.92,3.5089,,5741.1,0.084708,0.38059,7.73,0.0884,85.87,812.0,102.91,12.776,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2979,0.3238,27.099031,173.09894,183.6,1,129.0,1.0,01111111111111111000000000000000,0.5397,,,5988.0,4.541,-0.52,0.836,0.885,,291.28195,38.241669,15.657,16.162,15.621,15.441,15.32,14.408,14.036,13.939,0.021,19.4187924,38.241643,-0.151,-0.099,0.0008,-0.0003,0.004,0.008,0.009,-0.062,0.06,0.087
CANDIDATE,CANDIDATE,19.620346923,181.881819,2455014.882,0.0,,0.458,2.0038,,21725.0,0.137595,23.21659,13.6,0.1389,89.66,643.0,40.39,77.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,73.60154,353.8584,340.5,1,52.0,1.0,11111011101110111000000000000000,0.3063,,,5710.0,4.492,-0.1,0.905,0.928,,293.81619,38.563568,15.562,16.07,15.519,15.344,15.269,14.364,13.996,13.894,0.0,19.58774067,38.5634145,-0.225,-0.56,-0.0108,-0.0133,0.656,0.634,0.913,0.056,0.057,0.08
CANDIDATE,CANDIDATE,34.84398644,172.633252,2455005.633,0.0,,0.934,2.9315,,4523.6,0.080046,1.86832,7.61,0.1971,88.92,511.0,16.1,49.31,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2434,0.4341,15.928789,75.6448,76.8,1,40.0,1.0,11111111111111111000000000000000,0.1475,,,5509.0,4.482,-0.16,0.871,0.84,,285.92001,39.624828,15.684,16.307,15.646,15.417,15.322,14.363,13.96,13.875,0.13,19.061339,39.624775,0.24,-0.2,-0.0012,-0.0001,0.074,0.004,0.074,-0.003,-0.271,0.271
CANDIDATE,CANDIDATE,4.64090031,173.64638,2455006.646,0.0,,1.28,35.512,,2450.6,0.333559,0.00218,30.09,0.0503,19.01,1155.0,421.08,1.354,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3,0.2852,14.098484,135.01852,296.9,1,227.0,1.0,11111011101110111000000000000000,0.9095,,,6463.0,4.5,-1.66,0.826,0.786,,295.11371,40.071171,15.27,15.662,15.249,15.102,15.046,14.224,13.954,13.785,0.029,19.674246,40.071187,-0.05,0.06,-9e-05,0.00051,0.007,-0.098,0.098,-0.073,-0.103,0.126
CANDIDATE,CANDIDATE,1.028436523,170.228582,2455003.229,0.0,,1.5734,1.8606,,8098.0,0.673134,0.43236,72.77,0.0197,57.3,1947.0,3400.48,2.891,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.303,0.3107,,,89.6,1,,,,,,,6228.0,4.428,-0.44,0.99,0.959,,296.00699,40.295429,15.202,15.662,15.167,15.005,14.892,14.019,13.702,13.598,,,,,,,,,,,,,
CANDIDATE,CANDIDATE,235.9986399,208.399822,2455041.4,0.0,,0.778,8.2284,,20715.0,0.14756,2.14449,10.59,0.6534,89.76,188.0,0.29,184.83,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0563,0.7032,157.44649,311.33582,271.8,1,6.0,1.0,11111111111111111000000000000000,0.637,,,4245.0,4.627,0.12,0.657,0.666,,293.00797,42.307201,15.172,16.343,15.122,14.67,14.421,13.251,12.678,12.515,0.0,19.5338684,42.307216,0.148,0.059,-0.0041,0.0,0.051,-0.022,0.056,0.115,-0.045,0.123
